what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399263485140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399263567296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399263569093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399263569218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399263654968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399263664765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1399263711343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399263713593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399263713593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399263713718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399264034390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399264039343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399264040906
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399264041250
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,22.3.0.v201310242005-887826,"overlay.com.android.ide.eclipse.adt.overlay",1399264042890
stopped,bundle,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.adt",1399264042890
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1399264043000
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1399264043109
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1399264043109
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1399264043140
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1399264043140
